Date,Open,High,Low,Close,Adj_Close,Volume,Day 
2023-01-10,39.41,40.306667,39.41,40.306667,40.306667,5400,74
2023-01-11,40.156666,40.456669,40.156666,40.456669,40.456669,7800,75
2023-01-12,40.573334,41.346668,40.573334,41.346668,41.346668,6900,76
2023-01-13,41.233334,41.906666,41.233334,41.613335,41.613335,29400,77
2023-01-17,41.526669,41.526669,41.186668,41.243332,41.243332,6600,78
2023-01-18,41.633331,41.633331,40.860001,40.860001,40.860001,9600,79
2023-01-19,40.666668,40.713333,40.513332,40.513332,40.513332,6000,80
2023-01-20,40.616669,41.080002,40.616669,41.02,41.02,13800,81
2023-01-23,41.029999,41.213333,40.830002,40.950001,40.950001,9600,82
2023-01-24,40.82,41.023335,40.82,40.936668,40.936668,18900,83
2023-01-25,40.503334,40.953335,40.459999,40.953335,40.953335,8700,84
2023-01-26,41.139999,41.139999,40.529999,40.683334,40.683334,9900,85
2023-01-27,40.799999,40.799999,40.57,40.599998,40.599998,10500,86
2023-01-30,40.336666,40.380001,39.766666,39.766666,39.766666,8700,87
2023-01-31,39.849998,40.549999,39.849998,40.549999,40.549999,26400,88
2023-02-01,40.356667,40.943333,40.116669,40.733334,40.733334,24900,89
2023-02-02,40.849998,41.086666,40.57,41.086666,41.086666,10800,90
2023-02-03,40.753334,41.006668,40.676666,40.746666,40.746666,4500,91
2023-02-06,40.506668,40.759998,40.18,40.243332,40.243332,14400,92
2023-02-07,40.16,40.48,39.900002,40.450001,40.450001,10800,93
2023-02-08,40.299999,40.299999,39.703335,39.746666,39.746666,7800,94
2023-02-09,39.913334,40.093334,39.506668,39.526669,39.526669,22800,95
2023-02-10,39.68,39.713333,39.529999,39.626667,39.626667,18300,96
2023-02-13,39.68,40.023335,39.66,39.830002,39.830002,15900,97
2023-02-14,39.509998,40.016666,39.283333,39.630001,39.630001,11700,98
2023-02-15,39.283333,39.396667,38.950001,39.396667,39.396667,155100,99
2023-02-16,38.836666,39.423332,38.836666,39.119999,39.119999,17400,100
2023-02-17,39.033333,39.823334,39.033333,39.823334,39.823334,19200,101
2023-02-21,39.360001,39.360001,38.336666,38.349998,38.349998,18900,102
2023-02-22,38.456669,38.456669,38.156666,38.32,38.32,64500,103
2023-02-23,38.566666,38.703335,38.273335,38.703335,38.703335,11400,104
2023-02-24,38.099998,38.276669,37.793331,37.799999,37.799999,43200,105
2023-02-27,38.093334,38.333332,37.663334,37.803333,37.803333,10200,106
2023-02-28,37.759998,37.900002,37.759998,37.900002,37.900002,8400,107
2023-03-01,38.563332,39.053333,38.563332,38.966667,38.966667,11400,108
2023-03-02,38.503334,38.93,38.426666,38.866669,38.866669,8100,109
2023-03-03,38.796665,39.326668,38.796665,39.253334,39.253334,10500,110
2023-03-06,39.009998,39.023335,38.91,38.91,38.91,3900,111
2023-03-07,38.830002,38.926666,38.52,38.526669,38.526669,11100,112
2023-03-08,38.496666,38.496666,38.119999,38.32,38.32,8700,113
2023-03-09,38.186668,38.186668,37.196667,37.286667,37.286667,12600,114
2023-03-10,37,37,35.753334,36.096668,36.096668,10500,115
2023-03-13,36.779999,38.053333,36.779999,37.666668,37.666668,29400,116
2023-03-14,38.456669,38.616669,38,38.356667,38.356667,14100,117
2023-03-15,37.656666,37.860001,37.413334,37.833332,37.833332,55500,118
2023-03-16,37.796665,38.310001,37.796665,38.266666,38.266666,7200,119
2023-03-17,37.436668,37.436668,37.41,37.41,37.41,4800,120
2023-03-20,37.419998,37.973331,37.419998,37.936668,37.936668,5700,121
2023-03-21,37.946667,37.946667,37.599998,37.599998,37.599998,3600,122
2023-03-22,37.606667,37.606667,36.523335,36.523335,36.523335,16200,123
2023-03-23,36.736668,36.736668,36.536667,36.606667,36.606667,6600,124
2023-03-24,36.356667,36.873333,36.279999,36.873333,36.873333,20400,125
2023-03-27,37.16,37.306667,37.110001,37.306667,37.306667,4500,126
2023-03-28,37.18,37.18,36.866669,36.873333,36.873333,7500,127
2023-03-29,37.133331,37.193333,37.033333,37.193333,37.193333,7500,128
2023-03-30,36.720001,36.846668,36.436668,36.846668,36.846668,5100,129
2023-03-31,36.916668,37.419998,36.916668,37.419998,37.419998,13800,130
2023-04-03,37.466667,37.66,37.326668,37.610001,37.610001,23400,131
2023-04-04,37.583332,37.626667,37.246666,37.443333,37.443333,13200,132
2023-04-05,37.326668,37.326668,36.946667,37.073334,37.073334,42600,133
2023-04-06,36.990002,37.386665,36.91,37.386665,37.386665,7500,134
2023-04-10,37.126667,37.503334,36.990002,37.503334,37.503334,147000,135
2023-04-11,37.650002,37.906666,37.650002,37.766666,37.766666,11700,136
2023-04-12,38.213333,38.213333,37.536667,37.536667,37.536667,17400,137
2023-04-13,37.630001,38.453335,37.630001,38.253334,38.253334,6600,138
2023-04-14,38.143333,38.143333,37.853333,38.099998,38.099998,7200,139
2023-04-17,39.25,39.903332,39.25,39.849998,39.849998,45600,140
2023-04-18,39.970001,40.119999,39.886665,40.119999,40.119999,14400,141
2023-04-19,39.82,40.496666,39.82,40.486668,40.486668,20400,142
2023-04-20,40.113335,40.209999,40.113335,40.209999,40.209999,7500,143
2023-04-21,40.243332,40.900002,40.243332,40.886665,40.886665,15600,144
2023-04-24,40.596668,40.806667,40.553333,40.806667,40.806667,15000,145
2023-04-25,40.646667,40.783333,39.883331,39.976665,39.976665,20100,146
2023-04-26,39.630001,39.853333,39.5,39.553333,39.553333,10800,147
2023-04-27,39.486668,39.709999,39.360001,39.603333,39.603333,49200,148
2023-04-28,39.52,40.126667,39.52,39.963333,39.963333,113700,149
2023-05-01,40.016666,40.490002,40.016666,40.393333,40.393333,41100,150
2023-05-02,39.91,39.91,39.689999,39.759998,39.759998,4200,151
2023-05-03,40.106667,40.696667,40.093334,40.326668,40.326668,9000,152
2023-05-04,40.233334,40.32,40.033333,40.259998,40.259998,7200,153
2023-05-05,40.703335,41.040001,40.703335,41.003334,41.003334,7500,154
2023-05-08,40.603333,40.816666,40.603333,40.816666,40.816666,6300,155
2023-05-09,40.643333,41.153332,40.643333,41.153332,41.153332,5700,156
2023-05-10,40.873333,41.303333,40.806667,41.206669,41.206669,13200,157
2023-05-11,40.860001,40.91,40.796665,40.91,40.91,10200,158
2023-05-12,40.883331,40.883331,40.513332,40.723331,40.723331,6300,159
2023-05-15,40.886665,40.950001,40.863335,40.863335,40.863335,6300,160
2023-05-16,40.516666,40.516666,40.310001,40.310001,40.310001,10200,161
2023-05-17,39.98,40.09,39.98,40.09,40.09,6000,162
2023-05-18,39.926666,40.173332,39.666668,39.913334,39.913334,14700,163
2023-05-19,40.216667,40.226665,40.113335,40.156666,40.156666,7200,164
2023-05-22,40.463333,40.463333,40.426666,40.426666,40.426666,2100,165
2023-05-23,40.286667,40.709999,39.703335,39.836666,39.836666,8700,166
2023-05-24,39.566666,39.756668,39.279999,39.676666,39.676666,136500,167
2023-05-25,39.856667,39.856667,39.073334,39.119999,39.119999,43200,168
2023-05-26,39.056667,39.243332,39.056667,39.076668,39.076668,8700,169
2023-05-30,39.126667,39.346668,38.713333,38.713333,38.713333,23100,170
2023-05-31,38.689999,38.883331,38.416668,38.869999,38.869999,14100,171
2023-06-01,39.376667,39.456669,39.336666,39.426666,39.426666,5100,172
2023-06-02,39.563332,39.880001,39.546665,39.880001,39.880001,9000,173
2023-06-05,39.703335,39.983334,39.663334,39.936668,39.936668,20100,174
2023-06-06,39.833332,40.419998,39.833332,40.316666,40.316666,53400,175
2023-06-07,40.346668,40.423332,40.330002,40.406666,40.406666,5700,176
2023-06-08,40.259998,40.369999,40.163334,40.313332,40.313332,9300,177
2023-06-09,40.306667,40.343334,40.036667,40.036667,40.036667,29700,178
2023-06-12,40.23,40.450001,40.23,40.439999,40.439999,12900,179
2023-06-13,40.666668,40.946667,40.666668,40.939999,40.939999,27000,180
2023-06-14,40.956669,41.006668,40.580002,40.716667,40.716667,42000,181
2023-06-15,40.503334,40.636665,40.423332,40.599998,40.599998,10800,182
